;topic;StyleID;id;topic_safe
0;okay;1709054;0;okay
1;qualität;1709054;1;qualitaet
2;angenehmer;709229;10;angenehmer
3;angenehmes;709229;100;angenehmes
4;achtung;9743730;1000;achtung
5;hos;434886;10000;hos
6;klein;44970574;10001;klein
7;kurz;709229;10002;kurz
8;angenehm;709229;10003;angenehm
9;fast;515928;10004;fast
10;vorstellung;44970574;10005;vorstellung
11;qualität;44970574;10006;qualitaet
12;beschreiben;654563;10007;beschreiben
13;blickdicht;9743730;10008;blickdicht
14;farbe;44970574;10009;farbe
15;blau;9743730;1001;blau
16;material;44970574;10010;material
17;material;44970574;10011;material
18;farbe;9743730;10012;farbe
19;farbe;44970574;10013;farbe
20;falsche;1709054;10014;falsche
21;toller;8623725;10015;toller
22;schönes;709229;10016;schoenes
23;modelliert;8623725;10017;modelliert
24;slips;515928;10018;slips
25;qualität;9743730;1002;qualitaet
26;farbe;9743730;10020;farbe
27;oben;8623725;10021;oben
28;pack;1709054;10022;pack
29;passform;654563;10023;passform
30;angenehmes;709229;10024;angenehmes
31;zurückschicken;8623725;10025;zurueckschicken
32;qualität;44970574;10026;qualitaet
33;material;9743730;10027;material
34;qualität;1709054;10028;qualitaet
35;passform;654563;10029;passform
36;letzter;654563;1003;letzter
37;schönes;709229;10030;schoenes
38;farbe;1709054;10032;farbe
39;taille;8623725;10033;taille
40;ware;1709054;10034;ware
41;tolles;654563;10035;tolles
42;farbe;44970574;10036;farbe
43;longshirts;1709054;10037;longshirts
44;qualität;9743730;10038;qualitaet
45;material;515928;10039;material
46;beschreiben;9743730;1004;beschreiben
47;heut;44970574;10040;heut
48;material;434886;10041;material
49;preis;1709054;10042;preis
50;schöne;1709054;10043;schoene
51;gardinen;9743730;10044;gardinen
52;sitzen;654563;10045;sitzen
53;total;9743730;10046;total
54;material;655046;10047;material
55;schwester;654563;10048;schwester
56;farbe;44970574;10049;farbe
57;bequem;553018;1005;bequem
58;qualität;654563;10050;qualitaet
59;geld;1709054;10051;geld
60;material;515928;10052;material
61;material;515928;10053;material
62;angenehm;1709054;10054;angenehm
63;qualität;515928;10055;qualitaet
64;dünn;654563;10056;duenn
65;streich;1709054;10057;streich
66;drücken;655046;10058;druecken
67;passt;8623725;10059;passt
68;leichtes;9743730;1006;leichtes
69;passform;654563;10060;passform
70;größe;654563;10061;groesse
71;material;9743730;10062;material
72;material;654563;10063;material
73;gute;1709054;10064;gute
74;regelmässig;434886;10065;regelmaessig
75;unterer;515928;10066;unterer
76;preis;553018;10067;preis
77;erster;553018;10068;erster
78;sitzen;44970574;10069;sitzen
79;set;654563;1007;set
80;lang;515928;10070;lang
81;material;654563;10071;material
82;bequem;553018;10072;bequem
83;gekaufen;515928;10073;gekaufen
84;bequem;553018;10074;bequem
85;schnitt;44970574;10075;schnitt
86;qualität;9743730;10076;qualitaet
87;lila;8623725;10077;lila
88;sitz;434886;10078;sitz
89;material;44970574;10079;material
90;fühlen;44970574;1008;fuehlen
91;nervt;44970574;10080;nervt
92;schöne;1709054;10081;schoene
93;eher;654563;10082;eher
94;sonne;9743730;10083;sonne
95;sitzt;655046;10084;sitzt
96;lila;515928;10085;lila
97;verhältnis;654563;10086;verhaeltnis
98;qualität;9743730;10087;qualitaet
99;griffig;9743730;10088;griffig
100;lang;434886;10089;lang
101;bund;44970574;10090;bund
102;lang;8623725;10091;lang
103;griessen;1709054;10092;griessen
104;fallen;44970574;10093;fallen
105;unmöglich;434886;10094;unmoeglich
106;material;44970574;10095;material
107;farblich;44970574;10096;farblich
108;günstig;654563;10097;guenstig
109;farbe;8623725;10098;farbe
110;passend;1709054;10099;passend
111;qualität;1709054;101;qualitaet
112;finden;1709054;1010;finden
113;material;709229;10100;material
114;fallen;1709054;10101;fallen
115;sitzen;655046;10102;sitzen
116;qualität;44970574;10103;qualitaet
117;näht;655046;10104;naeht
118;verdunklungsvorhäng;9743730;10105;verdunklungsvorhaeng
119;preis;655046;10106;preis
120;material;515928;10107;material
121;bewerten;9743730;10109;bewerten
122;sohlen;553018;1011;sohlen
123;ja;1709054;10110;ja
124;einfarbig;1709054;10111;einfarbig
125;passend;515928;10112;passend
126;material;515928;10113;material
127;absolut;9743730;10114;absolut
128;fallen;1709054;10115;fallen
129;tragen;515928;10116;tragen
130;erwarten;9743730;10117;erwarten
131;prima;9743730;10118;prima
132;farbe;44970574;10119;farbe
133;absolut;709229;1012;absolut
134;passform;1709054;10120;passform
135;material;44970574;10121;material
136;farbe;44970574;10124;farbe
137;material;9743730;10125;material
138;passform;515928;10126;passform
139;prima;1709054;10127;prima
140;qualität;515928;10128;qualitaet
141;verarbeitung;8623725;10129;verarbeitung
142;finden;9743730;1013;finden
143;größe;709229;10130;groesse
144;gute;655046;10131;gute
145;länge;1709054;10132;laenge
146;angenehm;654563;10133;angenehm
147;material;8623725;10134;material
148;schmeicheln;8623725;10135;schmeicheln
149;farbe;1709054;10136;farbe
150;braun;9743730;10137;braun
151;katastrophe;515928;10138;katastrophe
152;früh;434886;10139;frueh
153;farbe;709229;1014;farbe
154;gesamt;654563;10140;gesamt
155;jetzig;434886;10141;jetzig
156;stoff;9743730;10142;stoff
157;qualität;9743730;10143;qualitaet
158;ware;654563;10144;ware
159;bequem;553018;10145;bequem
160;bequem;434886;10146;bequem
161;sitzen;8623725;10147;sitzen
162;angenehmen;44970574;10148;angenehmen
163;gehen;434886;10149;gehen
164;tragen;1709054;1015;tragen
165;slips;515928;10150;slips
166;bequem;655046;10152;bequem
167;schlecht;654563;10153;schlecht
168;wünschen;8623725;10154;wuenschen
169;bordeaux;9743730;10155;bordeaux
170;zufriedenstellend;515928;10156;zufriedenstellend
171;bein;44970574;10158;bein
172;material;515928;10159;material
173;farbe;9743730;1016;farbe
174;lange;515928;10160;lange
175;material;44970574;10161;material
176;material;44970574;10162;material
177;wissen;8623725;10163;wissen
178;gefiel;654563;10165;gefiel
179;lang;434886;10166;lang
180;schmaler;44970574;10167;schmaler
181;rot;44970574;10168;rot
182;bequem;553018;10169;bequem
183;qualität;515928;1017;qualitaet
184;hallo;44970574;10170;hallo
185;material;515928;10171;material
186;passen;1709054;10172;passen
187;qualität;8623725;10174;qualitaet
188;paten;44970574;10175;paten
189;süßer;515928;10176;suesser
190;schöne;1709054;10177;schoene
191;normal;655046;10178;normal
192;tragen;654563;10179;tragen
193;imm;553018;1018;imm
194;schöne;1709054;10180;schoene
195;qualität;8623725;10181;qualitaet
196;bequem;434886;10182;bequem
197;passen;8623725;10183;passen
198;angenehmen;709229;10184;angenehmen
199;material;9743730;10185;material
200;gleich;709229;10186;gleich
201;sitzen;655046;10187;sitzen
202;farbe;709229;10188;farbe
203;tragen;8623725;10189;tragen
204;schôner;8623725;1019;schôner
205;griffiges;9743730;10190;griffiges
206;wiederholt;654563;10191;wiederholt
207;material;44970574;10192;material
208;stoff;8623725;10193;stoff
